cid,store_hash
625,a7c0684197b805e4f70ae9027d9a4dd7
808,8a7a6cb60be9f31bc3f658ff4745c244
941,5b778f44cb64a5cc22d5baefcfdeb6da
1336,24ede7af46422c9cd08d653bd7babec3
1351,9ce5fc7ce4c7630f303b25c7912d6b45
1384,aef620fa8de7ee0e4dfd79b95dcb5251
1581,c7c241408064b6d5cbc42cb1a03e45fc
1581,ff031be27482d8e0fe7b17014694be51
1782,50ba4cbd0ee771fd5b8bb101b03b9c36
1862,06ff89dc1ecbb6ada47dd9761f0b8ab6
1965,9d331732af5d1f71e6db5e0ce6afdf4c
2015,429da498bb1733d0ebe97f6463e0f7b8
2165,e670c9c30f194022add0530cdd6a5d2d
2199,14269ff07335b063dbf5c4449f47cc91
2212,7a71366e47d77493fedc73c4f2b4ff35
2224,be1e946420b2569978d455e91fac345f
2364,a3bd8444b545a2b8a7f1a590894a681a
2549,d8db38436e37eb8369140434231e2730
2551,8e24b1f8d09b02c95f3224c10a04f701
2557,05d93cadaf577de42eb7622a49d9868c
2557,529d3716ca24ae16f33151a5a7fe5922
2743,b115ca41cfa9ea930253f400d9098895
2968,bc977498a09bfee42c781791016976f9
2982,1f65163f4d9a3d968f1052e3bbf5a5b3
3037,e4154a12cd14187894de42246f5ca63b
3239,e05be95640bd80a67af0ed2d215b5828
4549,d618c8e0ea97fd76ce842f392ce6d14b
4549,b6b001f1bba309ce92b59e36f807f414
4949,82268499ecdb1ba8750ae7a827527084
5122,22b2386c84ea613e292fe41263d5a8c9
5284,8f841ea8b1bef90edf1a7dbbe23c6319
5590,94d878cf5ede23eba4089d58d62b4199
5942,b9e5df44d9b377f3bedd930595b91272
14311,76eb2b6efdd81a2e5fe32e60e905f2a0
14315,7f38d28241e18516b84fdbe674afb291
14316,86e03ab9db1c89c2384e2043126d9154
14321,b9c02671278bfe6b6472629bc7cb2b4b
14329,5a042364ca5cf06b72678332e78a7987
14332,0c042633b5e621b74566274dc17c30ca
14334,01b0f2378ba4c74bd39c6feb7224c6e0
14338,7181ffb2498792c9692ab0c620ef5bf7
14346,c646621cd0bb43caa056e2609a9feb97
14347,7445aeaea9d82c5e37137f75f8308a69
14354,d1ec1d771750605ab97d661cac15c915
14356,ae5815b279e9dbd41a14997969586568
14360,848175c0a81cd1c1f32f75ae6eeb4b4c
14361,8696d1fc3a285bd8f71a77f9a81a92dd
14362,071217ab634c36ee4f52d418c59138b2
14364,09c57b93c50eb8fa6ecfdad3cf85ccb8
14366,9843e2d961553e93532af7eec78a0ffb
14376,daf7be020fd5bf955a45c83b18a67d5d
14380,24e2431a162ab82df502536137486913
14381,ff2fd7dd47412f21a853510f95d1e827
14384,418882042273a581bc3e6e3654e14f4e
